,carat,cut,color,clarity,depth,table,x,y,z,price
26945,2.01,Very Good,F,SI2,62.0,54.0,8.03,8.12,5.01,17005
47846,0.53,Ideal,F,VS1,62.0,55.0,5.2,5.15,3.21,1908
38693,0.37,Premium,E,VS2,61.1,57.0,4.66,4.63,2.84,1041
5543,1.01,Fair,G,SI2,64.7,58.0,6.14,6.23,4.0,3856
10723,0.31,Premium,D,SI2,62.1,59.0,4.35,4.31,2.69,593
51020,1.14,Good,G,I1,63.7,56.0,6.63,6.55,4.2,2327
41618,0.29,Very Good,E,VS1,61.7,58.0,4.23,4.29,2.63,504
11342,1.01,Good,F,SI1,58.8,64.0,6.58,6.51,3.85,4989
11320,1.12,Premium,I,VS2,62.8,57.0,6.68,6.61,4.17,4986
27965,0.3,Ideal,E,VS2,62.6,54.0,4.28,4.31,2.69,658
8174,0.85,Ideal,E,SI1,61.6,57.0,6.07,6.1,3.75,4363
27255,2.02,Very Good,H,SI1,63.4,60.0,7.96,8.04,5.07,17672
4127,1.0,Good,G,SI2,58.1,65.0,6.48,6.46,3.76,3541
41952,0.23,Very Good,F,VVS2,62.9,57.0,3.9,3.95,2.47,505
16894,1.1,Ideal,E,SI1,61.3,56.0,6.65,6.7,4.09,6743
41312,0.41,Ideal,F,VVS1,61.8,54.0,4.78,4.83,2.97,1213
50924,0.7,Premium,F,SI1,61.9,58.0,5.69,5.65,3.51,2319
9922,1.25,Premium,J,SI2,61.5,57.0,7.0,6.93,4.28,4690
13020,0.3,Very Good,E,VS2,61.6,54.0,4.29,4.32,2.65,600
35642,0.31,Ideal,G,VVS2,62.4,56.0,4.36,4.33,2.71,907
44874,0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,1629
47658,0.23,Very Good,E,VVS2,60.9,60.0,3.96,3.99,2.42,530
53326,0.72,Ideal,I,VVS1,61.3,57.0,5.75,5.77,3.53,2654
39821,0.38,Ideal,E,VVS2,62.4,56.0,4.69,4.63,2.91,1097
302,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,2799
40743,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1163
16916,1.14,Ideal,H,VS2,62.6,53.0,6.67,6.72,4.19,6753
38933,0.4,Ideal,E,VS1,62.2,55.0,4.72,4.76,2.95,1053
9379,0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,589
53863,1.0,Fair,I,SI2,66.8,56.0,6.22,6.12,4.13,2743
